"","State","Brewery_id","Beer_ID","Style","Ounces","City","IBU","ABV","Beer_Name","Brewery_Name"
"603"," FL",244,2037,"Munich Helles Lager",12,"Plant City",55,4.5,"The Gilded Age","Two Henrys Brewing Company"
"604"," FL",68,2517,"American Amber / Red Ale",12,"St Petersburg",55,5.9,"Rod Bender Red","3 Daughters Brewing"
"605"," FL",68,2518,"American Blonde Ale",12,"St Petersburg",55,5,"Beach Blonde","3 Daughters Brewing"
"606"," FL",142,1243,"American Pale Wheat Ale",16,"Tampa",55,5.2,"Tropical Heatwave","Cigar City Brewing Company"
"607"," FL",448,1240,"American Pale Ale (APA)",12,"Gainesville",35,5.6,"Stump Knocker Pale Ale","Swamp Head Brewery"
"608"," FL",142,546,"American IPA",12,"Tampa",70,7.5,"Jai Alai IPA","Cigar City Brewing Company"
"609"," FL",142,2349,"Bock",12,"Tampa",25,5.5,"Cubano Espresso","Cigar City Brewing Company"
"610"," FL",142,545,"Witbier",12,"Tampa",18,5,"Florida Cracker Belgian Wit","Cigar City Brewing Company"
"611"," FL",491,936,"Altbier",16,"Tampa",55,5.5,"Loafin Bräu","Tampa Bay Brewing Company"
"612"," FL",341,1685,"American IPA",12,"Boynton Beach",64,6.1,"Category 3 IPA","Due South Brewing Company"
"613"," FL",448,1239,"Oatmeal Stout",12,"Gainesville",38,5,"Midnight Oil","Swamp Head Brewery"
"614"," FL",142,1139,"American Pale Ale (APA)",12,"Tampa",55,5,"Invasion Pale Ale","Cigar City Brewing Company"
"615"," FL",309,1799,"American Pale Wheat Ale",12,"Tampa",28,5.5,"Are Wheat There Yet?","Brew Bus Brewing"
"616"," FL",142,569,"American Amber / Red Ale",12,"Tampa",75,7.2,"Tocobaga Red Ale","Cigar City Brewing Company"
"617"," FL",379,1568,"Cream Ale",12,"Jacksonville",55,5.5,"Killer Whale Cream Ale","Bold City Brewery"
"618"," FL",379,1188,"American Brown Ale",12,"Jacksonville",55,6,"Duke's Cold Nose Brown Ale","Bold City Brewery"
"619"," FL",394,1506,"American IPA",12,"Miami",62,7.1,"Miami Vice IPA","Miami Brewing Company"
